alder,utdanning,erfaring,jobb,sted,fag,kolleger,lønn,bonus,fornøyd
21-25,2,5,"in-house, privat sektor",Oslo,sikkerhet,100 - 500,350000,Ja,Ja
26-30,0,1,"in-house, privat sektor",Innlandet,fullstack,100 - 500,350000,Nei,Nei
31-35,3,14,"in-house, privat sektor",Viken,ingen av disse,100 - 500,350000,Nei,Nei
26-30,,3,frilans / selvstendig næringsdrivende,Oslo,frontend,under 10,350000,Ja,Nei
31-35,4,0,"in-house, privat sektor",Viken,fullstack,under 10,350000,Nei,Nei
36-40,,10,frilans / selvstendig næringsdrivende,Vestland,ingen av disse,under 10,350000,Nei,Nei
26-30,0,1,"in-house, privat sektor",Troms og Finnmark,fullstack,10 - 50,352000,Nei,Nei
15-20,1,0,"in-house, privat sektor",Trøndelag,programvare,10 - 50,360000,Nei,Nei
21-25,2,1,"in-house, privat sektor",Viken,backend,10 - 50,360000,Nei,Nei
26-30,2,2,"in-house, privat sektor",Vestland,UX / design,10 - 50,360000,Nei,Nei
21-25,0,4,konsulent,Viken,app,under 10,360000,Nei,Nei
46-50,,32,"in-house, privat sektor",Innlandet,ledelse/administrativt,under 10,360000,Ja,Nei
15-20,0,1,konsulent,Rogaland,frontend,10 - 50,380000,Ja,Nei
31-35,3,10,"in-house, privat sektor",Oslo,ingen av disse,10 - 50,400000,Nei,Nei
36-40,0,0,"in-house, offentlig/kommunal sektor",Vestfold og Telemark,sikkerhet,10 - 50,400000,Ja,Nei
21-25,3,0,"in-house, privat sektor",Agder,UX / design,100 - 500,400000,Nei,Nei
36-40,0,0,"in-house, privat sektor",Trøndelag,programvare,50 - 100,400000,Ja,Nei
26-30,0,2,"in-house, privat sektor",Vestland,frontend,under 10,400000,Nei,Nei
26-30,3,2,konsulent,Oslo,fullstack,under 10,400000,Ja,Nei
26-30,,7,frilans / selvstendig næringsdrivende,Innlandet,ingen av disse,under 10,400000,Nei,Ja
41-45,0,10,"in-house, privat sektor",Rogaland,ingen av disse,100 - 500,415000,Nei,Nei
36-40,4,8,"in-house, privat sektor",Oslo,ingen av disse,50 - 100,415000,Ja,Nei
15-20,2,0,"in-house, privat sektor",Møre og Romsdal,frontend,100 - 500,420000,Nei,Nei
41-45,0,1,"in-house, privat sektor",Vestland,ingen av disse,1.000 - 10.000,425000,Nei,Nei
41-45,0,10,konsulent,Vestfold og Telemark,fullstack,under 10,425000,Nei,Ja
26-30,3,2,"in-house, offentlig/kommunal sektor",Rogaland,ingen av disse,1.000 - 10.000,435000,Nei,Ja
26-30,6,4,frilans / selvstendig næringsdrivende,Nordland,backend,under 10,440000,Nei,Nei
36-40,4,2,"in-house, privat sektor",Viken,backend,under 10,445000,Nei,Nei
21-25,1,4,"in-house, offentlig/kommunal sektor",Nordland,ingen av disse,10 - 50,446000,Nei,Nei
26-30,3,4,"in-house, offentlig/kommunal sektor",Vestfold og Telemark,backend,1.000 - 10.000,450000,Nei,Ja
21-25,0,3,"in-house, privat sektor",Viken,frontend,10 - 50,450000,Nei,Ja
26-30,1,2,"in-house, privat sektor",Vestland,frontend,10 - 50,450000,Nei,Nei
26-30,2,8,"in-house, privat sektor",Vestfold og Telemark,frontend,10 - 50,450000,Nei,Ja
31-35,0,3,"in-house, privat sektor",Møre og Romsdal,fullstack,10 - 50,450000,Nei,Nei
46-50,0,2,"in-house, privat sektor",Vestland,ledelse/administrativt,10 - 50,450000,Nei,Nei
21-25,0,1,"in-house, privat sektor",Vestfold og Telemark,programvare,100 - 500,450000,Nei,Ja
26-30,1,5,"in-house, privat sektor",Trøndelag,frontend,100 - 500,450000,Nei,Ja
41-45,0,1,konsulent,Viken,programvare,100 - 500,450000,Nei,Nei
26-30,1,5,"in-house, privat sektor",Troms og Finnmark,fullstack,50 - 100,450000,Nei,Nei
15-20,1,1,"in-house, privat sektor",Agder,ingen av disse,under 10,450000,Nei,Ja
21-25,0,2,"in-house, privat sektor",Viken,devops,under 10,450000,Nei,Nei
21-25,0,1,"in-house, privat sektor",Troms og Finnmark,fullstack,under 10,450000,Ja,Ja
36-40,5,9,"in-house, privat sektor",Trøndelag,fullstack,under 10,450000,Nei,Nei
36-40,3,5,frilans / selvstendig næringsdrivende,Innlandet,UX / design,under 10,450000,Nei,Nei
26-30,0,13,"in-house, privat sektor",Innlandet,sikkerhet,10 - 50,456000,Nei,Ja
26-30,5,5,"in-house, privat sektor",Vestland,ingen av disse,1.000 - 10.000,460000,Nei,Nei
26-30,2,2,"in-house, privat sektor",Nordland,frontend,10 - 50,460000,Nei,Nei
36-40,0,14,"in-house, privat sektor",Viken,ingen av disse,over 10.000,460000,Nei,Nei
26-30,4,4,"in-house, privat sektor",Oslo,ledelse/administrativt,100 - 500,462000,Nei,Nei
21-25,3,2,"in-house, privat sektor",Trøndelag,fullstack,10 - 50,468000,Nei,Ja
21-25,3,1,"in-house, privat sektor",Nordland,UX / design,10 - 50,470000,Nei,Nei
26-30,0,11,"in-house, privat sektor",Viken,sikkerhet,under 10,470000,Ja,Ja
21-25,1,1,"in-house, offentlig/kommunal sektor",Troms og Finnmark,ingen av disse,100 - 500,475000,Ja,Ja
26-30,3,4,"in-house, privat sektor",Vestfold og Telemark,automatisering,100 - 500,475000,Nei,Nei
31-35,5,2,"in-house, privat sektor",Innlandet,frontend,1.000 - 10.000,480000,Nei,Nei
21-25,2,0,"in-house, privat sektor",Rogaland,frontend,10 - 50,480000,Nei,Ja
26-30,3,2,"in-house, privat sektor",Oslo,fullstack,10 - 50,480000,Nei,Nei
31-35,3,1,"in-house, privat sektor",Vestland,fullstack,10 - 50,480000,Nei,Nei
21-25,3,0,konsulent,Vestfold og Telemark,frontend,under 10,480000,Nei,Nei
31-35,0,1,"in-house, privat sektor",Trøndelag,frontend,under 10,480000,Nei,Ja
46-50,5,10,"in-house, privat sektor",Trøndelag,UX / design,under 10,480000,Ja,Nei
26-30,2,10,konsulent,Rogaland,automatisering,1.000 - 10.000,485000,Nei,Nei
21-25,3,1,konsulent,Vestland,devops,500 - 1.000,490000,Nei,Nei
36-40,4,18,"in-house, offentlig/kommunal sektor",Trøndelag,ingen av disse,10 - 50,493000,Nei,Nei
26-30,0,0,"in-house, privat sektor",Trøndelag,fullstack,10 - 50,495000,Nei,Nei
26-30,4,8,konsulent,Vestfold og Telemark,databaser,500 - 1.000,498000,Ja,Nei
15-20,5,5,"in-house, offentlig/kommunal sektor",Agder,sikkerhet,1.000 - 10.000,500000,Nei,Ja
21-25,4,1,"in-house, privat sektor",Viken,app,1.000 - 10.000,500000,Nei,Nei
21-25,3,1,konsulent,Viken,fullstack,1.000 - 10.000,500000,Nei,Nei
21-25,1,1,"in-house, offentlig/kommunal sektor",Oslo,programvare,1.000 - 10.000,500000,Ja,Ja
26-30,3,1,konsulent,Trøndelag,fullstack,1.000 - 10.000,500000,Nei,Nei
46-50,4,25,"in-house, offentlig/kommunal sektor",Agder,ingen av disse,1.000 - 10.000,500000,Nei,Nei
21-25,0,1,"in-house, privat sektor",Oslo,databaser,10 - 50,500000,Nei,Ja
21-25,4,0,"in-house, privat sektor",Trøndelag,frontend,10 - 50,500000,Nei,Ja
21-25,1,1,"in-house, privat sektor",Rogaland,frontend,10 - 50,500000,Ja,Ja
26-30,3,0,"in-house, privat sektor",Oslo,data science,10 - 50,500000,Nei,Ja
26-30,4,6,konsulent,Vestland,frontend,10 - 50,500000,Nei,Nei
26-30,3,2,"in-house, privat sektor",Innlandet,fullstack,10 - 50,500000,Nei,Nei
26-30,0,3,"in-house, privat sektor",Vestfold og Telemark,fullstack,10 - 50,500000,Nei,Nei
36-40,0,2,"in-house, privat sektor",Trøndelag,frontend,10 - 50,500000,Ja,Nei
36-40,4,3,"in-house, privat sektor",Rogaland,fullstack,10 - 50,500000,Nei,Ja
36-40,1,8,"in-house, privat sektor",Vestland,ingen av disse,10 - 50,500000,Nei,Nei
41-45,3,2,"in-house, privat sektor",Oslo,frontend,10 - 50,500000,Nei,Nei
46-50,0,0,konsulent,Vestfold og Telemark,backend,10 - 50,500000,Ja,Ja
46-50,0,0,konsulent,Viken,backend,10 - 50,500000,Nei,Ja
46-50,2,6,"in-house, privat sektor",Vestland,ingen av disse,10 - 50,500000,Nei,Nei
21-25,2,0,konsulent,Oslo,app,100 - 500,500000,Nei,Nei
21-25,0,0,"in-house, offentlig/kommunal sektor",Oslo,fullstack,100 - 500,500000,Nei,Nei
21-25,3,0,"in-house, privat sektor",Oslo,fullstack,100 - 500,500000,Nei,Nei
21-25,1,0,"in-house, privat sektor",Oslo,sikkerhet,100 - 500,500000,Nei,Ja
26-30,1,2,konsulent,Oslo,data science,100 - 500,500000,Ja,Nei
26-30,7,5,"in-house, privat sektor",Agder,ingen av disse,100 - 500,500000,Ja,Nei
31-35,1,5,"in-house, privat sektor",Vestfold og Telemark,fullstack,100 - 500,500000,Nei,Nei
31-35,5,5,"in-house, privat sektor",Innlandet,ingen av disse,100 - 500,500000,Nei,Nei
46-50,0,20,konsulent,Vestland,backend,100 - 500,500000,Nei,Ja
21-25,3,1,"in-house, privat sektor",Vestfold og Telemark,fullstack,50 - 100,500000,Nei,Nei
